subjects,particle_size,flowrate,parameter,deposition
PD13,11,18,2178,0.45462339
PD13,11,45,5445,0.917963568
PD01,12,18,2592,0.44697054
PD01,12,45,6480,0.95293045
PD07,12,18,2592,0.260714656
PD07,12,45,6480,0.7785750261
PD03,12,18,2592,0.464526749
PD03,12,45,6480,0.974223064
PD02,12,18,2592,0.9883327774
PD02,12,45,6480,1.00000004
PD08,12,18,2592,0.9945946272
PD08,12,45,6480,1.00000004
PD20,12,18,2592,0.9995612862
PD20,12,45,6480,1.0000000427
PD21,12,18,2592,0.8984962149
PD21,12,45,6480,1.0000000129
PD09,12,18,2592,0.9993443957
PD09,12,45,6480,1.00000001
PD19,12,18,2592,0.51823861
PD19,12,45,6480,0.96225034
PD10,12,18,2592,0.5677648
PD10,12,45,6480,0.92951864
PD13,12,18,2592,0.5785938
PD13,12,45,6480,0.970287911
PD01,13,18,3042,0.54627822
PD01,13,45,7605,0.98480064
PD07,13,18,3042,0.350491791
PD07,13,45,7605,0.8651927711
PD03,13,18,3042,0.575521729
PD03,13,45,7605,0.9857977464
PD02,13,18,3042,0.9980176184
PD02,13,45,7605,0.99999997
PD08,13,18,3042,0.9997801126
PD08,13,45,7605,0.9999999679
PD20,13,18,3042,1.0000000211
PD20,13,45,7605,1
PD21,13,18,3042,0.9634488212
PD21,13,45,7605,1.00000002
PD09,13,18,3042,0.9998896
PD09,13,45,7605,0.99999999
PD19,13,18,3042,0.67439801
PD19,13,45,7605,0.98099139
PD10,13,18,3042,0.68061018
PD10,13,45,7605,0.91635186
PD13,13,18,3042,0.71560232
PD13,13,45,7605,0.9920512268
PD01,14,18,3528,0.6170016
PD01,14,45,8820,0.987863394
PD07,14,18,3528,0.444370615
PD07,14,45,8820,0.9126843998
PD03,14,18,3528,0.66724399
PD03,14,45,8820,0.991912632
PD02,14,18,3528,0.9988816544
PD02,14,45,8820,1.00000001
PD08,14,18,3528,1.00000006
PD08,14,45,8820,1.0000000337
PD20,14,18,3528,1
PD20,14,45,8820,0.9999999906
PD21,14,18,3528,0.9873460482
PD21,14,45,8820,0.999999991
PD09,14,18,3528,1
PD09,14,45,8820,1.00000002
PD19,14,18,3528,0.810218172
PD19,14,45,8820,0.98794034
PD10,14,18,3528,0.91370673
PD10,14,45,8820,0.89639878
PD13,14,18,3528,0.80969819
PD13,14,45,8820,0.9968966357
PD01,15,18,4050,0.70410588
PD01,15,45,10125,0.99041698
PD07,15,18,4050,0.536368705
PD07,15,45,10125,0.9390572766
PD03,15,18,4050,0.741943
PD03,15,45,10125,0.9949217663
PD02,15,18,4050,0.99931878
PD02,15,45,10125,0.999999977
PD08,15,18,4050,0.99988683
PD08,15,45,10125,1.0000000194
PD20,15,18,4050,1
PD20,15,45,10125,0.99999995
PD21,15,18,4050,0.9936083665
PD21,15,45,10125,0.999999982
PD09,15,18,4050,1
PD09,15,45,10125,1.000000006
PD19,15,18,4050,0.890136336
PD19,15,45,10125,0.99585011
PD10,15,18,4050,0.96132015
PD10,15,45,10125,0.94350645
PD13,15,18,4050,0.86112671
PD13,15,45,10125,0.999168609
PD01,16,18,4608,0.7762092
PD01,16,45,11520,0.992150106
PD07,16,18,4608,0.614382078
PD07,16,45,11520,0.9563898631
PD03,16,18,4608,0.795182107
PD03,16,45,11520,0.9959453265
PD02,16,18,4608,0.999999956
PD02,16,45,11520,0.999999996
PD08,16,18,4608,1.00000005
PD08,16,45,11520,1.000000005
PD20,16,18,4608,1
PD20,16,45,11520,1.00000004
PD21,16,18,4608,0.9954966435
PD21,16,45,11520,1.000000025
PD09,16,18,4608,1
PD09,16,45,11520,0.999999968
PD19,16,18,4608,0.928546388
PD19,16,45,11520,0.99935753
PD10,16,18,4608,0.97966895
PD10,16,45,11520,0.99967939
PD13,16,18,4608,0.873774294
PD13,16,45,11520,0.999790834
PD01,17,18,5202,0.85263915
PD01,17,45,13005,0.993167414
PD07,17,18,5202,0.678393116
PD07,17,45,13005,0.9664528812
PD03,17,18,5202,0.864752593
PD03,17,45,13005,0.9970914166
PD02,17,18,5202,1.0000000345
PD02,17,45,13005,0.9999999803
PD08,17,18,5202,1.00000001
PD08,17,45,13005,1.000000033
PD20,17,18,5202,1
PD20,17,45,13005,0.99999997
PD21,17,18,5202,0.9986675931
PD21,17,45,13005,0.999999992
PD09,17,18,5202,0.9999999909
PD09,17,45,13005,1.000000002
PD19,17,18,5202,0.960052351
PD19,17,45,13005,0.99989219
PD10,17,18,5202,0.95765986
PD10,17,45,13005,0.99999994
PD13,17,18,5202,0.899442005
PD13,17,45,13005,0.999999947
PD01,18,18,5832,0.89490582
PD01,18,45,14580,0.996024112
PD07,18,18,5832,0.746893855
PD07,18,45,14580,0.9715132327
PD03,18,18,5832,0.905776308
PD03,18,45,14580,0.9970658082
PD02,18,18,5832,1.00000003
PD02,18,45,14580,0.9999999519
PD08,18,18,5832,0.99999999
PD08,18,45,14580,1.0000000333
PD20,18,18,5832,1
PD20,18,45,14580,1.000000045
PD21,18,18,5832,0.999503702
PD21,18,45,14580,0.999999962
PD09,18,18,5832,0.99999996
PD09,18,45,14580,0.999999964
PD19,18,18,5832,0.97353725
PD19,18,45,14580,1.00000004
PD10,18,18,5832,0.96594274
PD10,18,45,14580,0.99999998
PD13,18,18,5832,0.959292085
PD13,18,45,14580,0.9999999654
PD01,19,18,6498,0.9313523
PD01,19,45,16245,0.996736402
PD07,19,18,6498,0.789276627
PD07,19,45,16245,0.9710360989
PD03,19,18,6498,0.9377898385
PD03,19,45,16245,0.9980245324
PD02,19,18,6498,0.99999998
PD02,19,45,16245,1.0000000128
PD08,19,18,6498,0.99999997
PD08,19,45,16245,1.0000000073
PD20,19,18,6498,1
PD20,19,45,16245,0.999999986
PD21,19,18,6498,0.999491718
PD21,19,45,16245,0.9999999547
PD09,19,18,6498,1.00000002
PD09,19,45,16245,1.000000001
PD19,19,18,6498,0.9831370488
PD19,19,45,16245,1.000000022
PD10,19,18,6498,0.96923664
