subject,ps,stk1,stk2,stk3,dep
PD09-45LPM,ps2,0.00749024298012828,0.0460236024500257,0.0051048285557839,0.092700954
PD19-18LPM,ps2,0.000825379593275764,0.064521300207347,0.00153139350552469,0.0100132821
PD19-45LPM,ps2,0.00206344898318941,0.161303250518367,0.00382848376381172,0.026814039
PD10-18LPM,ps2,0.00105153837718097,0.00893700506224204,0.000737729387308126,0.025894581
PD10-45LPM,ps2,0.00262884594295241,0.0223425126556051,0.00184432346827031,0.116620748
PD13-18LPM,ps2,0.00126547370154785,0.00384828552212532,0.00202109823141754,0.00805958
PD13-45LPM,ps2,0.00316368425386962,0.0096207138053133,0.00505274557854385,0.0158827747
PD01-18LPM,ps3,0.00240807519876912,0.00919067564668634,0.00287671013928271,0.0051145659
PD01-45LPM,ps3,0.00602018799692279,0.0229766891167158,0.00719177534820677,0.0139301458
PD07-18LPM,ps3,0.00343703295333418,0.00625275243630585,0.00188368669879725,0.0077574764
PD07-45LPM,ps3,0.00859258238333545,0.0156318810907646,0.00470921674699312,0.0124489795
PD03-18LPM,ps3,0.00248755342153165,0.0157375869896287,0.00430213405576488,0.0121070292
PD03-45LPM,ps3,0.00621888355382914,0.0393439674740718,0.0107553351394122,0.053946968
PD02-18LPM,ps3,0.00295904563142159,0.0146496928596041,0.00403592772952401,0.018495809
PD02-45LPM,ps3,0.00739761409172254,0.0366242321490104,0.01008981932381,0.195322125
PD08-18LPM,ps3,0.00619136470809406,0.0432298031250162,0.00403078285173339,0.0735850977
PD08-45LPM,ps3,0.0154784117702352,0.108074507812541,0.0100769571293335,0.391883551
PD20-18LPM,ps3,0.00351384360306494,0.0133179700873655,0.00399949073881245,0.0804256586
PD20-45LPM,ps3,0.00878460900766235,0.0332949252184137,0.00999872684703113,0.563582622
PD21-18LPM,ps3,0.00249464746581554,0.00647088029050468,0.00591359859134474,0.0189332277
PD21-45LPM,ps3,0.00623661866453885,0.0161772007262617,0.0147839964783618,0.180073522
PD09-18LPM,ps3,0.00656628840259762,0.0403463876692811,0.00447512539072783,0.053282881
PD09-45LPM,ps3,0.0164157210064941,0.100865969173203,0.0111878134768196,0.349523522
PD19-18LPM,ps3,0.00180891343092803,0.141405781626849,0.00335622337012887,0.0149238474
PD19-45LPM,ps3,0.00452228357732009,0.353514454067121,0.00839055842532217,0.0612015144
PD10-18LPM,ps3,0.00230456617672083,0.0195864649684406,0.00161681801678142,0.086947666
PD10-45LPM,ps3,0.00576141544180207,0.0489661624211014,0.00404204504195356,0.260696793
PD13-18LPM,ps3,0.00277342981806833,0.00843395623508299,0.00442946707893056,0.0076538424
PD13-45LPM,ps3,0.00693357454517083,0.0210848905877075,0.0110736676973264,0.0324130894
PD01-18LPM,ps4,0.00422399793473812,0.0161213383079957,0.00504602916610803,0.0096203057
PD01-45LPM,ps4,0.0105599948368453,0.0403033457699893,0.0126150729152701,0.030597625
PD07-18LPM,ps4,0.00602888983862766,0.0109679354660041,0.00330416954149949,0.0109485321
PD07-45LPM,ps4,0.0150722245965692,0.0274198386650102,0.00826042385374872,0.0340177754
PD03-18LPM,ps4,0.00436341046179591,0.0276052570849664,0.00754636124976748,0.0157287307
PD03-45LPM,ps4,0.0109085261544898,0.0690131427124161,0.0188659031244187,0.128189482
PD02-18LPM,ps4,0.00519045362134433,0.0256969850506104,0.00707940948147118,0.042305337
PD02-45LPM,ps4,0.0129761340764598,0.0642424626265259,0.017698523703678,0.51298036
PD08-18LPM,ps4,0.0108602554245679,0.0758292761009045,0.00707038486580587,0.1893885438
PD08-45LPM,ps4,0.0271506385614198,0.189573190252261,0.0176759621645147,0.8051203428
PD20-18LPM,ps4,0.00616362318333154,0.0233610138805842,0.00701549545852358,0.2810544399
PD20-45LPM,ps4,0.0154090579583288,0.0584025347014604,0.017538738646309,0.764460321
PD21-18LPM,ps4,0.00437585410492607,0.0113505529216864,0.0103730266602465,0.0384772356
PD21-45LPM,ps4,0.0109396352623152,0.028376382304216,0.0259325666506162,0.50927624
PD09-18LPM,ps4,0.0115179080228244,0.0707714851580624,0.00784980486398043,0.1741185824
PD09-45LPM,ps4,0.0287947700570609,0.176928712895156,0.0196245121599511,0.642120366
PD19-18LPM,ps4,0.0031730099625899,0.248039483923569,0.00588714197596093,0.025879703
PD19-45LPM,ps4,0.00793252490647474,0.620098709808922,0.0147178549399023,0.2125895995
PD10-18LPM,ps4,0.00404243305022694,0.0343565631246907,0.00283605593680088,0.17476026
PD10-45LPM,ps4,0.0101060826255674,0.0858914078117268,0.00709013984200219,0.394102671
PD13-18LPM,ps4,0.00486486544508652,0.0147939789159707,0.0077697157476464,0.0135783559
PD13-45LPM,ps4,0.0121621636127163,0.0369849472899267,0.019424289369116,0.112863579
PD01-18LPM,ps5,0.00654653617223009,0.0249855530255121,0.00782055601646556,0.0148565561
PD01-45LPM,ps5,0.0163663404305752,0.0624638825637802,0.0195513900411639,0.085585588
PD07-18LPM,ps5,0.00934383634101219,0.0169985846045004,0.00512094602241997,0.0168360559
PD07-45LPM,ps5,0.0233595908525305,0.0424964615112511,0.0128023650560499,0.087721104
PD03-18LPM,ps5,0.00676260378527036,0.0427838310630349,0.0116956796981439,0.036283271
PD03-45LPM,ps5,0.0169065094631759,0.106959577657587,0.0292391992453597,0.235353914
PD02-18LPM,ps5,0.00804439133432485,0.039826307860519,0.0109719774878046,0.127853407
PD02-45LPM,ps5,0.0201109783716119,0.0995657696512976,0.0274299437195115,0.70722239
PD08-18LPM,ps5,0.016831697381263,0.117523518377234,0.010957990744959,0.3690377913
PD08-45LPM,ps5,0.0420792434531576,0.293808795943085,0.0273949768623976,0.940578717
PD20-18LPM,ps5,0.00955265195322062,0.0362059178891846,0.0108729207482882,0.6293942376
PD20-45LPM,ps5,0.0238816298830515,0.0905147947229615,0.0271823018707205,0.9357732404
PD21-18LPM,ps5,0.00678188948595595,0.0175915818200415,0.016076568998375,0.114060251
PD21-45LPM,ps5,0.0169547237148899,0.0439789545501038,0.0401914224959374,0.7812277571
PD09-18LPM,ps5,0.0178509560527315,0.109684733446354,0.0121659698420714,0.371834479
PD09-45LPM,ps5,0.0446273901318289,0.274211833615885,0.0304149246051784,0.89426323
PD19-18LPM,ps5,0.00491766918826135,0.384422407097508,0.00912414932302088,0.051605626
PD19-45LPM,ps5,0.0122941729706534,0.961056017743769,0.0228103733075522,0.449293269
PD10-18LPM,ps5,0.00626513899769931,0.0532472995309926,0.00439544314736649,0.242622897
PD10-45LPM,ps5,0.0156628474942483,0.133118248827481,0.0109886078684162,0.630217861
PD13-18LPM,ps5,0.00753978058260242,0.0229283535647884,0.0120418442375651,0.0264528688
PD13-45LPM,ps5,0.018849451456506,0.0573208839119709,0.0301046105939127,0.311624618
PD01-18LPM,ps6,0.00937568991124505,0.0357833197992354,0.0112002906903553,0.023189
PD01-45LPM,ps6,0.0234392247781126,0.0894582994980885,0.0280007267258882,0.18211615
PD07-18LPM,ps6,0.0133818724604878,0.024344699851795,0.00733401614155869,0.0269852707
PD07-45LPM,ps6,0.0334546811512194,0.0608617496294874,0.0183350403538967,0.197420949
PD03-18LPM,ps6,0.00968513339195499,0.0612733089238341,0.0167500894008941,0.093895734
PD03-45LPM,ps6,0.0242128334798875,0.153183272309585,0.0418752235022353,0.3756003
PD02-18LPM,ps6,0.0115208587703631,0.0570376612893301,0.0157136317485243,0.37257125
PD02-45LPM,ps6,0.0288021469771788,0.142594153223325,0.0392840793713108,0.90430776
PD08-18LPM,ps6,0.0241056905781794,0.168312529954005,0.0156936004891929,0.644200912
PD08-45LPM,ps6,0.0602642264454484,0.420781324885013,0.0392340012229822,0.9847462039
PD20-18LPM,ps6,0.0136809299127322,0.0518526821131668,0.0155717666081063,0.7719551236
PD20-45LPM,ps6,0.0342023247818304,0.129631705282917,0.0389294165202658,0.9880599475
PD21-18LPM,ps6,0.00971275360890517,0.02519396698557,0.0230242256057302,0.287631584
PD21-45LPM,ps6,0.0242818840222629,0.0629849174639251,0.0575605640143255,0.902588071
PD09-18LPM,ps6,0.0255654324923192,0.157086132534156,0.0174236203250006,0.5219457165
PD09-45LPM,ps6,0.0639135812307979,0.392715331335391,0.0435590508125015,0.986294293
PD19-18LPM,ps6,0.0070428911079424,0.550554551148665,0.0130672454113087,0.1245742657
PD19-45LPM,ps6,0.017607227769856,1.37638637787166,0.0326681135282718,0.641656416
PD10-18LPM,ps6,0.00897268401913792,0.076258674187346,0.00629497964847825,0.350314559
PD10-45LPM,ps6,0.0224317100478448,0.190646685468365,0.0157374491211956,0.77639881
